attrs,values
units,"1"
model_var,""
dtime_units,"hour"
level_type,"isobaric"
time_type,"UT"
time_bounds,"[0, 0]"
level,time,dtime,id,lon,lat,neighbour_selection_method,vertical_displacement
0,2000-01-01,0,612,-1.61629999,54.55540085,nearest,-14.68459320
0,2000-01-01,0,613,-1.74839997,54.84970093,nearest,10.85580444
0,2000-01-01,0,614,-6.04860020,54.82949829,nearest,-72.17276001
0,2000-01-01,0,615,-3.97930002,55.66830063,nearest,27.99595642
0,2000-01-01,0,616,-3.65459991,55.78350067,nearest,20.19573975
0,2000-01-01,0,617,-3.89890003,55.91859818,nearest,16.56979370
0,2000-01-01,0,618,-2.95760012,56.38629913,nearest,76.56290436
0,2000-01-01,0,619,-3.98469996,55.66609955,nearest,32.99595642
0,2000-01-01,0,620,-4.61049986,50.68650055,nearest,51.44104004
0,2000-01-01,0,621,-4.69540024,50.47900009,nearest,3.92147827
0,2000-01-01,0,622,-4.44939995,50.43600082,nearest,-4.44795990
0,2000-01-01,0,623,-4.40500021,50.82910156,nearest,7.34550476
0,2000-01-01,0,624,-4.34740019,50.85219955,nearest,22.55541992
0,2000-01-01,0,625,-4.36770010,50.39989853,nearest,53.71846390
0,2000-01-01,0,626,-5.00780010,51.72380066,nearest,-2.49811935
0,2000-01-01,0,627,-5.05819988,51.72520065,nearest,-0.49980164
0,2000-01-01,0,628,-3.33520007,51.77149963,nearest,-66.21783447
0,2000-01-01,0,629,-1.25109994,52.47409821,nearest,8.54582977
0,2000-01-01,0,630,0.19589999,51.47900009,nearest,4.00000000
0,2000-01-01,0,631,-0.14749999,52.29809952,nearest,18.05196381
0,2000-01-01,0,632,-1.27719998,52.17890167,nearest,-35.71334839
0,2000-01-01,0,633,9.97739983,53.56019974,nearest,7.49235439
0,2000-01-01,0,634,-3.28299999,53.98300171,nearest,0.00000000
0,2000-01-01,0,635,-4.53299999,53.25000000,nearest,0.69238377
0,2000-01-01,0,636,1.88300002,51.93000031,nearest,0.00000000
0,2000-01-01,0,637,0.43610001,53.12749863,nearest,0.00000000
0,2000-01-01,0,638,-2.98609996,53.17449951,nearest,8.23594856
0,2000-01-01,0,639,-2.57579994,51.52140045,nearest,-13.44178772
0,2000-01-01,0,640,-1.53149998,54.29679871,nearest,4.04225922
0,2000-01-01,0,641,-3.40000010,51.40999985,nearest,-6.28491211
0,2000-01-01,0,642,-5.28240013,56.37990189,nearest,147.55450439
0,2000-01-01,0,643,-4.45749998,57.72290039,nearest,246.63610840
0,2000-01-01,0,644,-4.17030001,55.28559875,nearest,163.92102051
0,2000-01-01,0,645,-4.74550009,55.24089813,nearest,11.58473206
0,2000-01-01,0,646,-4.13780022,55.57619858,nearest,46.22396851
0,2000-01-01,0,647,-0.24969999,52.06000137,nearest,1.71989059
0,2000-01-01,0,648,-6.82639980,55.10089874,nearest,13.34674072
0,2000-01-01,0,649,0.73439997,52.62860107,nearest,-2.56624222
0,2000-01-01,0,650,1.11099994,52.69160080,nearest,5.57968521
0,2000-01-01,0,651,-3.86730003,56.03099823,nearest,0.23247528
0,2000-01-01,0,652,-3.73720002,55.87189865,nearest,-8.80780029
0,2000-01-01,0,653,7.98859978,50.41059875,nearest,50.63012695
0,2000-01-01,0,654,8.79790020,53.43439865,nearest,0.43024540
0,2000-01-01,0,656,-4.77740002,54.90499878,nearest,-16.87390900
0,2000-01-01,0,660,-7.25880003,54.91419983,nearest,150.39825439
0,2000-01-01,0,661,4.41900015,52.60599899,nearest,0.00000000
0,2000-01-01,0,662,2.96900010,51.55599976,nearest,0.00000000
0,2000-01-01,0,663,4.23099995,51.51300049,nearest,1.00000000
